193.4s 24.96 Mbps
193.6s 26.22 Mbps
193.8s 23.76 Mbps
194s 24.9 Mbps
194.2s 25.08 Mbps
194.4s 24.9 Mbps
194.6s 25.92 Mbps
194.8s 24.06 Mbps
195s 24.9 Mbps
195.2s 25.02 Mbps
195.4s 24.96 Mbps
195.6s 25.68 Mbps
195.8s 24.24 Mbps
196s 24.96 Mbps
196.2s 25.02 Mbps
196.4s 24.9 Mbps
196.6s 25.44 Mbps
196.8s 24.54 Mbps
197s 24.9 Mbps
197.2s 25.2 Mbps
197.4s 24.78 Mbps
197.6s 25.2 Mbps
197.8s 24.72 Mbps
198s 24.96 Mbps
198.2s 25.44 Mbps
198.4s 11.64 Mbps
198.6s 4.32 Mbps
198.8s 26.58 Mbps
199s 24.18 Mbps
199.2s 25.26 Mbps
199.4s 25.26 Mbps
199.6s 25.26 Mbps
199.8s 26.04 Mbps
